date,playTitle,authorName,originalTitle,originalAuthorName
1750-01-05,De bruiloft van Kloris en Roosje,"Rijndorp, Jacob van",,
1750-01-05,Gysbreght van Aemstel,"Vondel, Joost van den",,
1750-01-10,Gysbreght van Aemstel,"Vondel, Joost van den",,
1750-01-10,De bruiloft van Kloris en Roosje,"Rijndorp, Jacob van",,
1750-01-12,De bruiloft van Kloris en Roosje,"Rijndorp, Jacob van",,
1750-01-12,Gysbreght van Aemstel,"Vondel, Joost van den",,
1750-01-17,"Scilla, treurspel","Rotgans, Lukas",,
1750-01-19,"Julius Cezar, en Kato. Treurspél","Langendijk, Pieter",,
1750-01-24,"Geta, of De broedermoort van Antoninus, treurspel","Haverkamp, Johannes","Géta, tragédie","Péchantré, Nicolas de"
1750-01-26,Oratyn en Maskariljas of Den ontydigen Loskop,"Dullaart, Joan",L’Étourdi ou les Contretemps,"Molière (ps. Poquelin, Jean Baptiste)"
1750-01-31,De Mode,"Bernagie, Pieter",,
1750-02-02,De gekroonde na haar dood. Treurspel,"Heulen, Christiaan van",Reinar después de morir,"Vélez de Guevara, Luis"
1750-02-07,Andromaché [by L. Meijer],Nil Volentibus Arduum group,Andromaque,"Racine, Jean"
1750-02-09,"Jupiter en Amphitrion, of De twee gelyke Sosiaas. Blyspel","Koning, Harmanus","Amphitryon, comédie","Molière (ps. Poquelin, Jean Baptiste)"
1750-02-14,"Merope, treurspel","Feitama, Johan","La Mérope, tragédie.",Voltaire
1750-02-16,"Democritus, of de verliefde filosoof","Elvervelt, Henrik van",Démocrite,"Regnard, Jean François"
1750-02-23,Agamemnon. Treurspel,"Rijk, Frans",Agamemnon. Tragedie,"Boyer, Claude"
1750-03-02,De doodelyke minnenyd; treurspel,"Hoeven, Willem van der",,
1750-03-07,"Polyxena, treurspel [by M. Bode]","Bode, Matthias",Polyxène,"La Fosse, Antoine de"
1750-03-09,Timon de menschenhater; blyspel,"Hooff, Nicolaas Willem op den","Timon le misantrope, comedie","Delisle de La Drevetière, Louis François"
1750-03-14,Timon de menschenhater; blyspel,"Hooff, Nicolaas Willem op den","Timon le misantrope, comedie","Delisle de La Drevetière, Louis François"
1750-03-16,Timon de menschenhater; blyspel,"Hooff, Nicolaas Willem op den","Timon le misantrope, comedie","Delisle de La Drevetière, Louis François"
1750-03-21,Sabinus en Eponina; treurspel,"Haverkamp, Johannes","Sabinus et Éponine, tragédie","Richer, Henri"
1750-03-23,"De malle wédding óf Gierige Geeraard, blyspél [by Nil Volentibus Arduum group]",Nil Volentibus Arduum group,"La folle gageure, ou Les divertissemens de la comtesse de Pembroc","Le Métel de Boisrobert, François"
1750-03-28,Artemines. Treurspel,"Winter-van Merken, Lucretia Wilhelmina van",,
1750-03-31,"De waarzegster, blyspel","Hoeven, Emanuel van der",La devineresse,"Corneille, Thomas"
1750-04-04,"Rhadamistus en Zenobia, treurspel","Bogaert, Abraham","Rhadamiste et Zénobie, tragédie","Crébillon, Prosper Jolyot de"
1750-04-06,Het wederzyds huwelyks bedrog. Blyspél,"Langendijk, Pieter",,
1750-04-11,"Constantinus de Groote, Eerste Christen' Keiser. Treurspel","Bernagie, Pieter",,
1750-04-13,"Arminius, Beschermer der Duytsche Vryheid","Bernagie, Pieter",,
1750-04-18,"Orestes en Pylades, of Iphigenia in Tauris, treurspel","Bode, Matthias",Oreste et Pylade,"Lagrange Chancel, François Joseph de"
1750-04-20,"Min in't lazarus-huys, blyspel","Focquenbroch, Willem Godschalk van",Los locos de Valencia,"Lope de Vega y Carpio, Félix"
1750-04-23,"Min in't lazarus-huys, blyspel","Focquenbroch, Willem Godschalk van",Los locos de Valencia,"Lope de Vega y Carpio, Félix"
1750-04-27,"Jacoba van Beieren, gravin van Holland en Zeeland. Treurspel","Marre, Jan de",,
1750-05-04,De verduytste Cid. Bly-eindend treurspel,"Heemskerk, Johan van",Le Cid. Tragi-comedie.,"Corneille, Pierre"
1750-08-03,Manlius Capitolinus; treurspel,"Malfait (de jonge), Philip",Manlius Capitolinus; tragédie,"La Fosse, Antoine de"
1750-08-06,"Athénaïs, treurspel","Huybert van Kruiningen, Pieter Anthony de","Athénaïs, tragédie","Lagrange Chancel, François Joseph de"
