Issue #,year,date,DOW,sup,LOC of ad,works mentioned,Performance Location,date of performance,order,author,genre,# acts,bnft,benefit name,other name/function,actors mentioned,Amtr,Role,Additional information,,,,,,,,,,,,,,,,,,
1081,1810,11/3,Sat,n,P3C2,L'Opéra Comique,Saint-Pierre,11/4/1810,2,,opéra,1,n,,musique de Della Maria,,,,,,,,,,,,,,,,,,,,,,
1328.5,1812,6/18,Thurs,,P4C4,L'Opéra Comique,Saint-Philippe,6/18/1812,2,,Opéra,1,y,Mme. Douvillier,musique de D. Maria,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990,1809,12/20,Wed,n,P3C2,La Belle Arsene,Saint-Pierre,12/20/1809,,,opéra,4,n,,musique de Monsigny,,,,"En L'Honneur de L'Anniversaire de la Prise de Possession de ce Territoire… En cas de mauvais tems, le spectacle sera renvoye a demain Jeudi""",,,,,,,,,,,,,,,,,,
581,1806,1/18,Sat,,,La Belle Arsène,Saint-Pierre,1/19/1806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,1806,11/1,Sat,n,P2C4,La Belle Arsène,Saint-Pierre,11/1/1806,,,Opéra féerie,,n,,,M. Champigny,y,Charbonnier,,,,,,,,,,,,,,,,,,,
802,1808,3/2,Wed,n,"P3C1,P2C3",La Belle Arsène,Saint-Philippe,3/2/1808,,Favart,Opéra-séerie,4,n,,"musique de Monsigny, ballets dans lesquels M. Francisqui dansera les principales entrées",,,,also listed: Ballets dans lesquels M. Francisqui dansera les principales entrées,,,,,,,,,,,,,,,,,,
825,1808,5/21,Sat,n,"P2C3,P2C4",La Belle Arsène,Saint-Philippe,5/22/1808,2,,opéra féerie,3,n,,,M. Champigny,y,Charbonnier,,,,,,,,,,,,,,,,,,,
889,1808,12/31,Sat,n,P3C1,La Belle Arsène,Saint-Pierre,1/1/1809,,,opéra-séerie,4,n,,"dans lequel paraitra le nouveau salon, peint par Mr. Godefroy",Mlle. Lise Douvillier,n,Satatue,,,,,,,,,,,,,,,,,,,
937,1809,6/17,Sat,n,P3C1,La Belle Arsène,Saint-Philippe,6/18/1809,,,Opéra séerie,4,n,,musique de Grétry,Madmlle. Josephine,n,Statue,dans lequel Madmlle. Josephine sera sa rentrée à ce théâtre,,,,,,,,,,,,,,,,,,
1210,1811,9/14,Sat,n,P3C1,La Belle Arsène,Saint-Philippe,9/15/1811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1245,1811,12/5,Thurs,n,P3C2,La Belle Arsène,Saint-Philippe,12/5/1811,2,,opéra-féerie,4,n,,musique de Grétry,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,1805,12/18,Wed,,,La Danse Interrompue,Saint-Pierre,12/19/1805,2,,vaudeville nouveau,1,,,,,,,,,,,,,,,,,,,,,,,,,
599,1806,3/22,Sat,,,La Danse Interrompue,Saint-Pierre,3/23/1806,2,,vaudeville nouveau,,,,,,,,,,,,,,,,,,,,,,,,,,
659,1806,10/11,Sat,,,La Danse Interrompue,Saint-Pierre,10/12/1806,2,,vaudeville,1,,,,,,,,,,,,,,,,,,,,,,,,,
681,1807,1/3,Sat,n,P3C2,La Danse Interrompue,Saint-Pierre,1/6/1807,2,,,,n,,,,,,,,,,,,,,,,,,,,,,,,
767,1807,10/31,Sat,n,P3C1,La Danse Interrompue,Saint-Pierre,11/1/1807,3,,Vaudeville,1,n,,,,,,,,,,,,,,,,,,,,,,,,
862,1808,9/28,Wed,n,P2C4,La Danse Interrompue,Saint-Pierre,9/29/1808,2,,vaudeville,1,n,,,,,,,,,,,,,,,,,,,,,,,,
922,1809,4/26,Wed,n,P3C2,La Danse Interrompue,Saint-Pierre,4/28/1809,,,Vaudeville,1,n,,,,,,"listed as ""vendredi prochain"", but not advertised in subsequent issues, so performance is on 4/28",,,,,,,,,,,,,,,,,,
1033,1810,5/19,Sat,n,P3C4,La Danse Interrompue,Saint-Pierre,5/20/1810,2,,vaudeville,1,n,,,,,,,,,,,,,,,,,,,,,,,,
1126,1811,3/2,Sat,n,P3C1,La Danse Interrompue,Saint-Philippe,3/3/1811,2,,vaudeville,1,n,,,,,,,,,,,,,,,,,,,,,,,,
1194,1811,8/8,Thurs,,P3C1,La Danse Interrompue,Saint-Philippe,8/8/1811,1,,comédie vaudeville,1,n,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
819,1808,4/30,Sat,n,"P2C4, P2C3",La Jeune Femme Colère,Saint-Philippe,4/30/1808,1,,comédie,1,y,Mdm. Daudet,,,,,"primère représentation, arivée de France dans la dernière collection",,,,,,,,,,,,,,,,,,
821,1808,5/7,Sat,n,"P3C2,P3C3",La Jeune Femme Colère,Saint-Philippe,5/8/1808,1,,vaudeville,1,n,,,,,,2em représentation,,,,,,,,,,,,,,,,,,
861,1808,9/24,Sat,n,"P3C3,P3C2",La Jeune Femme Colère,Saint-Pierre,9/25/1808,1,Picard,comédie,1,n,,,,,,,,,,,,,,,,,,,,,,,,
899,1809,2/4,Sat,n,P3C2,La Jeune Femme Colère,Saint-Pierre,2/5/1809,,,comédie,,n,,,,,,"preceeds Gulnare, but is listed after",,,,,,,,,,,,,,,,,,
971,1809,10/14,Sat,n,P2C4,La Jeune Femme Colère,Saint-Philippe,10/15/1809,1,,,,n,,,,,,,,,,,,,,,,,,,,,,,,
1232,1811,11/5,Tues,,P2C4,La Jeune Femme Colère,Saint-Philippe,11/5/1811,2,,Opéra nouveau,1,y,La Direction,,,,,,,,,,,,,,,,,,,,,,,
1288,1812,3/14,Sat,n,P3C1,La Jeune Femme Colère,Saint-Philippe,3/15/1812,2,,opéra,1,n,,musique de Boyeldieu,,,,,,,,,,,,,,,,,,,,,,
1311,1812,5/7,Thurs,n,P3C2,La Jeune Femme Colère,Saint-Philippe,5/7/1812,1,,opéra,1,n,,musique de Boyeldieu,,,,,,,,,,,,,,,,,,,,,,
1401,1812,12/5,Sat,n,P3C4,La Jeune Femme Colère,Saint-Philippe,12/6/1812,1,,opéra,1,n,,musique de Boyeldieu,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903,1809,2/18,Sat,n,P3C1,La Leçon de Botanique ou Les Deux Peres,Saint-Pierre,2/21/1809,,Emmanuel Dupaty,comédie nouvelle,,y,M. Tabary,,,,,"author listed as ""Dupaty""",,,,,,,,,,,,,,,,,,
907,1809,3/4,Sat,n,P3C2,La Leçon de Botanique ou Les Deux Peres,Saint-Pierre,3/5/1809,,Emmanuel Dupaty,comédie,2,n,,,,,,"author listed as ""Dupaty""",,,,,,,,,,,,,,,,,,
917,1809,4/8,Sat,n,P3C2,La Leçon de Botanique ou Les Deux Peres,Saint-Pierre,4/9/1809,,Emmanuel Dupaty,comédie,2,n,,,,,,"author listed as ""Dupaty""",,,,,,,,,,,,,,,,,,
931,1809,5/27,Sat,n,P2C4,La Leçon de Botanique ou Les Deux Peres,Saint-Pierre,5/28/1809,,Dupaty,comédie,2,n,,,,,,,,,,,,,,,,,,,,,,,,
980,1809,11/15,Wed,n,P3C2,La Leçon de Botanique ou Les Deux Peres,Saint-Philippe,11/16/1809,1,Dupaty,comédie,2,y,Mr. Foucher,,,,,,,,,,,,,,,,,,,,,,,
1003,1810,2/3,Sat,n,P3C2,La Leçon de Botanique ou Les Deux Peres,Saint-Pierre,2/4/1810,1,Dupaty,comédie,1,n,,,M. Ferrand,y,"Dorval, Frontin",,,,,,,,,,,,,,,,,,,
1153,1811,5/4,Sat,n,P3C2,La Leçon de Botanique ou Les Deux Peres,Saint-Philippe,5/5/1811,1,,comédie,2,n,,,,,,"""ornée d'une décoration nouvelle, représentant une site pittoresque peinte par Ciceri, Décorateur des premiers théâtres d'Italie""",,,,,,,,,,,,,,,,,,
1155,1811,5/9,Thurs,n,P3C1,La Leçon de Botanique ou Les Deux Peres,Saint-Philippe,5/9/1811,1,Dupaty,comédie,2,n,,,,,,"""ornée d'une décoration nouvelle représentant un site pittoresque, peinte par Ciceri""",,,,,,,,,,,,,,,,,,
1224,1811,10/17,Thurs,n,P3C1,La Leçon de Botanique ou Les Deux Peres,Saint-Philippe,10/17/1811,1,Dupaty,comédie,2,n,,,,,,,,,,,,,,,,,,,,,,,,
1276,1812,2/15,Sat,n,P2C4,La Leçon de Botanique ou Les Deux Peres,Saint-Philippe,2/16/1812,1,,Comédie,2,n,,,,,,,,,,,,,,,,,,,,,,,,
1037,1810,6/2,Sat,n,P3C3,La Leçon de Botanique ou les Deux Pères,Saint-Pierre,6/3/1810,1,Dupaty,comédie,1,n,,,,,,"Farewell performance for M. Tabary, who will be taking a short leave of absence, does not list the alternate name, Note from A. Daudet, the stage manager, saying that for all performance days curtains will open at exactly 7:30PM so the show can end at a reasonable hour",,,,,,,,,,,,,,,,,,
1191,1811,8/1,Thurs,,P3C2,La Leçon de Botanique ou les Deux Pères,Saint-Philippe,8/1/1811,1,Dupati,comédie,2,n,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,1806,4/9,Wed,,,La mélomanie,Saint-Pierre,4/10/1806,2,,opéra,,,,musique de Champein,,,,,,,,,,,,,,,,,,,,,,
660,1806,10/22,Wed,n,P3C2,La Mélomanie,Saint-Pierre,10/23/1806,,Musique de Champein,Opéra,,n,,,Mlle. Josephine,y,Elise,Le premier début de Mlle. Josephine par le rôle d'Elise,,,,,,,,,,,,,,,,,,
696,1807,2/25,Wed,,P3C1,La Mélomanie,Saint-Pierre,2/26/1807,1,,,,n,,,,,,,,,,,,,,,,,,,,,,,,
720,1807,5/20,Wed,n,P2C3,La Mélomanie,Saint-Pierre,5/21/1807,2,,opéra,,n,,,Mlle. Joséphine,n,Elize,,,,,,,,,,,,,,,,,,,
733,1807,7/4,Sat,n,"P2C3, P2C4",La Mélomanie,Saint-Pierre,7/5/1807,2,,Opéra,1,n,,,Mme. Feron,,Lisette,actrice nouvellement arrivée en cette ville; premier début,,,,,,,,,,,,,,,,,,
771,1807,11/14,Sat,n,P2C4,La Mélomanie,Saint-Pierre,11/15/1807,2,,opéra,1,n,,musique de Champein,,,,,,,,,,,,,,,,,,,,,,
799,1808,2/20,Sat,n,"P3C1,P3C1",La Mélomanie,Saint-Philippe,2/20/1808,2,Champein,opéra,1,n,,,,,,,,,,,,,,,,,,,,,,,,
849,1808,8/13,Sat,n,"P2C4,P2C3",La Mélomanie,Saint-Pierre,8/16/1808,2,,opéra,,y,M. Deperville,musique de Champein,M. Deperville,n,Mélomane,,,,,,,,,,,,,,,,,,,
999,1810,1/20,Sat,n,P3C3,La Mélomanie,Saint-Pierre,1/21/1810,2,,opéra,1,n,,musique de Champein,M. Ferrand,y,Crispin,,,,,,,,,,,,,,,,,,,
1107,1811,1/17,Thurs,n,P3C3,La Mélomanie,Saint-Philippe,1/17/1811,2,,opéra,1,n,,musique de Champein,M. Desperville,n,Le Melomane,M. Desperville's 2nd reentry to the theatre,,,,,,,,,,,,,,,,,,
,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,1805,12/25,Wed,,,Le Calife de Bagdad,Saint-Pierre,12/25/1805,2,,opéra nouveau,,y,Une Dame Amateur,musique de Boieldieu,,,,première; à grand spectacle,,,,,,,,,,,,,,,,,,
580,1806,1/15,Wed,,,Le Calife de Bagdad,Saint-Pierre,1/16/1806,2,,opéra nouveau,,,,musique de Boieldieu,,,,deuxième; orné de tout son spectacle,,,,,,,,,,,,,,,,,,
593,1806,3/1,Sat,,,Le Calife de Bagdad,Saint-Pierre,3/2/1806,2,,opéra nouveau,,,,,,,,,,,,,,,,,,,,,,,,,,
721,1807,5/23,Sat,n,P2C4,Le Calife de Bagdad,Saint-Pierre,5/26/1807,1,,opéra,,y,la Direction,musique de Boieldieu,Mr. Douvillier,n,Calife,"""orné de tout son Spectacle""",,,,,,,,,,,,,,,,,,
883,1808,12/10,Sat,n,P3C1,Le Calife de Bagdad,Saint-Pierre,12/11/1808,2,,opéra,1,n,,musique de Boëldieu,,,,,,,,,,,,,,,,,,,,,,
971,1809,10/14,Sat,n,P2C4,Le Calife de Bagdad,Saint-Philippe,10/15/1809,2,Boeldieu,opéra,,n,,,,,,,,,,,,,,,,,,,,,,,,
1019,1810,3/31,Sat,n,P3C3,Le Calife de Bagdad,Saint-Pierre,4/1/1810,2,,opéra,1,n,,musique de Boieldieu,,,,Note at the end about the opera,,,,,,,,,,,,,,,,,,
1138,1811,3/30,Sat,n,P3C2,Le Calife de Bagdad,Saint-Philippe,3/31/1811,2,,opéra,1,n,,musique de Boeldieu,,,,"new costumes, new decorations ""représentant un point de la ville de Bagdad""",,,,,,,,,,,,,,,,,,
1219,1811,10/5,Sat,n,P3C1,Le Calife de Bagdad,Saint-Philippe,10/6/1811,2,Musique de Boïldieu,Opéra,1,n,,,,,,"""à grande spectacle"" ""décors & costumes nouveaux.""",,,,,,,,,,,,,,,,,,
1276,1812,2/15,Sat,n,P2C4,Le Calife de Bagdad,Saint-Philippe,2/16/1812,2,Boyeldieu,Opéra,1,n,,,,,,pour la rentrée de Mlle Laurette,,,,,,,,,,,,,,,,,,
,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,1806,3/26,Wed,,,Le Déserteur,Saint-Pierre,3/28/1806,2,,Opéra,3,,,musique de Monsigny,M. Douvillier,,Déserteur,,,,,,,,,,,,,,,,,,,
743,1807,8/8,Sat,n,P2C3,Le Déserteur,Saint-Pierre,8/9/1807,2,,Opéra,3,N,,,"M. Douvillier, M. Clairville, M. Daudet",,"Déserteur, Monte-au-ciel, Jean Louis Basset",,,,,,,,,,,,,,,,,,,
782,1807,12/23,Wed,n,P2C2,Le Déserteur,Saint-Pierre,12/25/1807,2,,opéra,3,n,,musique de Monsigny,Mr. St.-Martin,n,Déserteur,,,,,,,,,,,,,,,,,,,
1001,1810,1/27,Sat,n,P3C2,Le Déserteur,Saint-Pierre,1/27/1810,1,Mercier et Patrat,drame,5,y,Mr. Auguste,,,,,"première représentation, includes three paragraphs praising this drama and Philippe & Georgette, refers to a poster that has a cast list on it",,,,,,,,,,,,,,,,,,
1013,1810,3/10,Sat,n,P3C2,Le Déserteur,Saint-Pierre,3/11/1810,1,Mercier,Drame,5,n,,,,,,,,,,,,,,,,,,,,,,,,
1039,1810,6/9,Sat,n,P3C3,Le Déserteur,Saint-Pierre,6/10/1810,2,Sedaine,opéra,3,n,,musique de Monsigny,,,,,,,,,,,,,,,,,,,,,,
1165,1811,6/1,Sat,n,P3C2,Le Déserteur,Saint-Philippe,6/3/1811,1,Mercier,drame,4,n,,,,,,"Title printed as only ""Deserteur""",,,,,,,,,,,,,,,,,,
1168,1811,6/8,Sat,n,P2C4,Le Déserteur,Saint-Philippe,6/9/1811,2,,opéra,3,n,,musique de Monsigny,,,,,,,,,,,,,,,,,,,,,,
1177,1811,6/29,Sat,n,P3C1,Le Déserteur,Saint-Philippe,6/30/1811,1,Mercier,drame,4,n,,,,,,,,,,,,,,,,,,,,,,,,
676,1806,12/17,Wed,n,P2C4,Le Déserteur ,Saint-Pierre,12/18/1806,2,,opéra,3,n,,musique de Monsigny,,,,,,,,,,,,,,,,,,,,,,
807,1808,3/19,Sat,n,"P3C2,P3C1","Le Déserteur, ou la Noce supposée",Saint-Philippe,3/19/1808,2,"Dauberval, Jean Bercher",grand ballet Pantomime,3,n,,"Barthélemon, François Hippolyte","Mr. Donvillier, Mr. Daudet, Mr. Francisqui, Mr. Teffier, Mr. Clairville, Mr. Tabary, Mr. Dessessart, Mlle. Fleury, Mme. Daudet, Mme. Brunet, Mlle. Marie","n, n, n, n, n, n, n, n, n, n","Alexis, Jean Louis, Bertrand, Montauciel, Le Géneral, Le Major, Le Geolier, Louise (fille de J.L.), La Duchesse, La Tante, Jeannette","première représentation, ""figurans"" will play the backing roles, such as soldiers, troops, etc, the spectacle will end with a party and a ballet with amateur dancers and ""un pas seul dans le charactère d'Hussard; title given as ""Ballet du Déserteur,"" full cast list in ad",,,,,,,,,,,,,,,,,,
821,1808,5/7,Sat,n,"P3C2,P3C3","Le Déserteur, ou La noce supposée",Saint-Philippe,5/8/1808,2,,grand ballet pantomime,3,n,,,,,,seconde représentation,,,,,,,,,,,,,,,,,,
,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,1806,11/8,Sat,n,P3C1,Le Jugement de Midas,Saint-Pierre,11/9/1806,,Grétry,Opéra,3,n,,,,,,Une premiere représentation,,,,,,,,,,,,,,,,,,
672,1806,12/3,Wed,n,P3C1,Le Jugement de Midas,Saint-Pierre,12/4/1806,1,,opéra,3,n,,musique de Grerry,,,,,,,,,,,,,,,,,,,,,,
675,1806,12/13,Sat,n,P2C4,Le Jugement de Midas,Saint-Pierre,12/14/1806,1,,opéra,3,n,,musique de Grétry,,,,,,,,,,,,,,,,,,,,,,
689,1807,1/31,Sat,n,P2C4,Le Jugement de Midas,Saint-Pierre,2/1/1807,2,,opéra,3,n,,musique de Grétry,M. Douvillier,n,Palemon,,,,,,,,,,,,,,,,,,,
690,1807,2/4,Wed,,P3C3,Le Jugement de Midas,Saint-Pierre,2/5/1807,2,,Opéra,3,,,musique de Grétry,M. Douvillier,n,Palemon,,,,,,,,,,,,,,,,,,,
697,1807,2/28,Sat,,P3C1,Le Jugement de Midas,Saint-Pierre,3/1/1807,2,,Opéra,3,n,,Musique de Grétry,,,,,,,,,,,,,,,,,,,,,,
811,1808,4/2,Sat,n,"P3C2,P2C4",Le Jugement de Midas,Saint-Philippe,4/2/1808,2,Grétry,Opéra,3,n,,,,,,"primère représentation; identical program with same mention of premiere adverrtised for 3/310, must have been cancelled and played 4/2",,,,,,,,,,,,,,,,,,
881,1808,12/3,Sat,n,P3C2,Le Jugement de Midas,Saint-Pierre,12/4/1808,2,,opéra,3,n,,musique de Grétry,,,,,,,,,,,,,,,,,,,,,,
935,1809,6/10,Sat,n,P2C3,Le Jugement de Midas,Saint-Philippe,6/11/1809,,,opéra,3,n,,,,,,,,,,,,,,,,,,,,,,,,
1194,1811,8/8,Thurs,,P3C1,Le Jugement de Midas,Saint-Philippe,8/8/1811,2,,Opéra,3,n,,musique de Grétry,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,1806,5/10,Sat,,,"Le Sourd, ou l'Auberge pleine",Saint-Pierre,5/11/1806,,Desforges,comédie,3,,,,,,,,,,,,,,,,,,,,,,,,,
737,1807,7/18,Sat,n,P3C1,"Le Sourd, ou L'Auberge pleine",Saint-Pierre,7/19/1807,1,,Comédie,3,n,,,M. Daudet,n,Danières,Auberge pleine to play before Arlequin afficheur,,,,,,,,,,,,,,,,,,
822,1808,5/11,Wed,n,"P3C1,P2C4","Le Sourd, ou l'Auberge pleine",Saint-Philippe,5/13/1808,1,Desforges,comédie,3,n,,,"unlisted, unlisted","y, y","Sourd, St.-Firmin",,,,,,,,,,,,,,,,,,,
845,1808,7/30,Sat,n,"P3C1,P3C3","Le Sourd, ou L'Auberge pleine",Saint-Philippe,7/31/1808,1,Desforges,Comédie,3,n,,,Dame,n,Madame Le Gras,"""Pour le début d'une Dame",,,,,,,,,,,,,,,,,,
859,1808,9/17,Sat,n,"P3C3,P3C3","Le Sourd, ou l'Auberge pleine",Théâtre de la Gaîté,9/17/1808,1,Desforges,comédie,3,n,,,,,,"preceeds Tirelire, but is listed after",,,,,,,,,,,,,,,,,,
883,1808,12/10,Sat,n,P3C1,"Le Sourd, ou L'Auberge pleine",Saint-Pierre,12/11/1808,1,Desforges,comédie,3,n,,,,,,,,,,,,,,,,,,,,,,,,
943,1809,7/8,Sat,y,P1C4,"Le Sourd, ou l'Auberge pleine",Saint-Philippe,7/9/1809,,,comédie,3,n,,,,,,"Sourd is described as being shown ""a [sic] la demande du public""",,,,,,,,,,,,,,,,,,
1011,1810,3/3,Sat,n,P3C3,"Le Sourd, ou L'Auberge pleine",Saint-Pierre,3/4/1810,1,Desforges,comédie,3,n,,,,,,,,,,,,,,,,,,,,,,,,
1119,1811,2/14,Thurs,n,P3C2,"Le Sourd, ou L'Auberge pleine",Saint-Philippe,2/14/1811,1,Desforges,comédie,3,n,,,Madame Gaspard,n,Petronille,debut performance for Mme Gaspard,,,,,,,,,,,,,,,,,,
1317,1812,5/21,Thurs,n,"P3C1, P3C4","Le Sourd, ou L'Auberge Pleine",Saint-Philippe,5/21/1812,1,Desforges,comédie,3,n,,,,,,"The heading of this ad seems to have been misprinted and reads ""SPECATCLE"" instead of the usual ""SPECTACLE"", this issue also includes an ad titled ""AVIS"" in which it is declared that Louis Tabary wants to leave the theatre and is looking for a job in a house to teach kids",,,,,,,,,,,,,,,,,,
,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,1805,11/30,Sat,,,"Les Amans prothée, ou Qui compte sans son hôte, compte deux fois",Saint-Pierre,12/1/1805,2,Patrat,vaudeville nouveau,,,,,,,,,,,,,,,,,,,,,,,,,,
588,1806,2/12,Wed,,,"Les Amans prothée, ou Qui compte sans son hôte, compte deux fois",Saint-Pierre,2/13/1806,2,Patrat,vaudeville,1,,,,,,,,,,,,,,,,,,,,,,,,,
649,1806,9/6,Sat,,,"Les Amans prothée, ou Qui compte sans son hôte, compte deux fois",Saint-Pierre,9/7/1806,2,,Comédie,1,,,,,,,,,,,,,,,,,,,,,,,,,
673,1806,12/6,Sat,n,P2C3,"Les Amans prothée, ou Qui compte sans son hôte, compte deux fois",Saint-Pierre,12/7/1806,2,,vaudeville,1,n,,,,,,,,,,,,,,,,,,,,,,,,
703,1807,3/21,Sat,n,P3C1,"Les Amans prothée, ou Qui compte sans son hôte, compte deux fois",Saint-Pierre,3/22/1807,2,,,,n,,,,,,,,,,,,,,,,,,,,,,,,
749,1807,8/29,Sat,n,P2C2,"Les Amans prothée, ou Qui compte sans son hôte, compte deux fois",Saint-Pierre,8/30/1807,2,,Comédie,1,n,,,M. Ferrand,n,Dubriel,"""mêlée de Vaudeville"", spelled ""Amans Prothées"" instead of ""Amants Protées""",,,,,,,,,,,,,,,,,,
806,1808,3/16,Wed,n,"P3C2,P3C1","Les Amans prothée, ou Qui compte sans son hôte, compte deux fois",Saint-Pierre,3/17/1808,2,,vaudeville,1,n,,,,,,,,,,,,,,,,,,,,,,,,
898,1809,2/1,Wed,n,P3C2,"Les Amans prothée, ou Qui compte sans son hôte, compte deux fois",Saint-Pierre,2/2/1809,,,vaudeville,1,n,,,,,,,,,,,,,,,,,,,,,,,,
903,1809,2/18,Sat,n,P3C1,"Les Amans prothée, ou Qui compte sans son hôte, compte deux fois",Saint-Pierre,2/19/1808,,,vaudeville,1,n,,,,,,"spelled ""Amans Prothées"" instead of ""Amants Protées""",,,,,,,,,,,,,,,,,,
968,1809,10/4,Wed,n,P3C1,"Les Amans prothée, ou Qui compte sans son hôte, compte deux fois",Saint-Pierre,10/5/1809,2,,,,y,Mr. Ernest,,,,,"""S'addresser pour la location des Loges, à M. Laroque""",,,,,,,,,,,,,,,,,,
1001,1810,1/27,Sat,n,P3C2,"Les Amans prothée, ou Qui compte sans son hôte, compte deux fois",Saint-Pierre,1/28/1810,2,,comédie vaudeville,1,n,,,M. Ferrand,y,Dubriel,"listed as ""Amans Protées"", missing the ""t"" in ""amants""",,,,,,,,,,,,,,,,,,
1097,1810,12/25,Tues,n,P3C4,"Les Amans prothée, ou Qui compte sans son hôte, compte deux fois",Saint-Philippe,12/25/1810,2,,vaudeville,1,n,,,,,,,,,,,,,,,,,,,,,,,,
1213,1811,9/21,Sat,n,P2C2,"Les Amans prothée, ou Qui compte sans son hôte, compte deux fois",Saint-Philippe,9/22/1811,,,vaudeville,1,n,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
626,1806,6/25,Wed,y,,Les Dettes,Saint-Pierre,6/26/1806,,,Opéra,,,,,Clairville,,Chevalier,,,,,,,,,,,,,,,,,,,
631,1806,7/12,Sat,,,Les Dettes,Saint-Pierre,7/13/1806,2,,opéra,,,,musique de Champein,,,,ad completely surrounded by the provisions of the new code noir,,,,,,,,,,,,,,,,,,
650,1806,9/10,Wed,,,Les Dettes,Saint-Pierre,9/11/1806,,,Opéra,,,,musique de Dalayrac,,,,,,,,,,,,,,,,,,,,,,
670,1806,11/26,Wed,n,P3C3,Les Dettes,Saint-Pierre,11/27/1806,2,Daleyrac,Opéra,2,n,,,,,,,,,,,,,,,,,,,,,,,,
694,1807,2/18,Wed,,P2C4,Les Dettes,Saint-Pierre,2/19/1807,2,,comédie,,n,,musique de Daleyrac,,,,,,,,,,,,,,,,,,,,,,
796,1808,2/10,Wed,n,"P2C4,P2C3",Les Dettes,Saint-Philippe,2/10/1808,2,,Opéra,2,n,,musique de Champein,,,,,,,,,,,,,,,,,,,,,,
822,1808,5/11,Wed,n,"P3C1,P2C4",Les Dettes,Saint-Philippe,5/13/1808,2,,opéra,3,n,,musique de Champein,,,,,,,,,,,,,,,,,,,,,,
866,1808,10/12,Wed,n,P2C4,Les Dettes,Saint-Pierre,10/13/1808,2,,opéra,2,n,,musique de Champein,,,,,,,,,,,,,,,,,,,,,,
918,1809,4/12,Wed,n,P3C1,Les Dettes,Saint-Pierre,4/13/1809,,,opéra,2,n,,musique de Champein,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,1806,1/11,Sat,,,"Les deux frères, ou La réconciliation",Saint-Pierre,1/12/1806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,1806,4/23,Wed,,,"Les deux frères, ou La réconciliation",Saint-Pierre,4/24/1806,1,Kotzebue,drame,3,,,,,,,,,,,,,,,,,,,,,,,,,
640,1806,8/13,Wed,,,"Les deux frères, ou La réconciliation",Saint-Pierre,8/15/1806,1,,comédie,,,,,,,,pour la rentrée au théâtre de Mlle Fleury jeune,,,,,,,,,,,,,,,,,,
717,1807,5/9,Sat,n,P3C1,"Les deux frères, ou La réconciliation",Saint-Pierre,5/10/1807,1,,drame,,n,,,,,,,,,,,,,,,,,,,,,,,,
837,1808,7/2,Sat,n,"P3C2,P3C3","Les deux frères, ou La réconciliation",Saint-Pierre,7/3/1808,1,Korzebue,Comédie,4,n,,,,,,"words listed as ""du théâtre de Korzebue"", listed as ""Deux Frères Défunis ou La Réconciliation""",,,,,,,,,,,,,,,,,,
884,1808,12/14,Wed,n,P3C1,"Les deux frères, ou La réconciliation",Saint-Pierre,12/15/1808,1,Picard,comédie,4,n,,,,,,"listed as ""Deux Frères Défunis ou La Réconciliation""",,,,,,,,,,,,,,,,,,
898,1809,2/1,Wed,n,P3C2,"Les deux frères, ou La réconciliation",Saint-Pierre,2/2/1809,,Korzebue,Drame,4,n,,,,,,,,,,,,,,,,,,,,,,,,
1015,1810,3/17,Sat,n,P3C2,"Les deux frères, ou La réconciliation",Saint-Pierre,3/18/1810,1,Korzebue,comédie,4,n,,,,,,,,,,,,,,,,,,,,,,,,
1097,1810,12/25,Tues,n,P3C4,"Les deux frères, ou La réconciliation",Saint-Philippe,12/25/1810,1,Korzebue,comédie,4,n,,,M. Fournier,n,Le Capitaine,M. Fournier's reentry into the theatre,,,,,,,,,,,,,,,,,,
1227,1811,10/24,Thurs,n,P3C1,"Les deux frères, ou La réconciliation",Saint-Philippe,10/24/1811,1,Kotzebue,comédie,4,n,,,,,,"imitée de Kotzebue; incorrectly listed as ""demain jeudi 24 du courant"" (should be today)",,,,,,,,,,,,,,,,,,
