work,original_genre,grouped_genre,year
Caprices de Galathée ou Le pouvoir de l'Amour,ballet Pantomime,Other,1808.0
Caprices de Galathée ou Le pouvoir de l'Amour,ballet Pantomime,Other,1811.0
Caroline ou Le Tableau,comédie nouvelle,Comedy,1806.0
Caroline ou Le Tableau,comédie nouvelle,Comedy,1806.0
Caroline ou Le Tableau,Comédie,Comedy,1806.0
Caroline ou Le Tableau,Comédie,Comedy,1807.0
Cartouche ou les Voleurs,comédie,Comedy,1809.0
"Casette Précieuse, ou Le Législateur malgré lui",Vaudeville,Vaudeville,1811.0
Cassandre Tout Seul ou Une Heure avant le Mariage,vaudeville nouveau,Vaudeville,1812.0
Cécile ou La Reconnaissance,Comédie nouvelle,Comedy,1807.0
Cécile ou La Reconnaissance,Comédie nouvelle,Comedy,1807.0
Cécile ou La Reconnaissance,Comédie,Comedy,1808.0
"Cecile, ou La Reconnaissance",comédie,Comedy,1811.0
"Cecile, ou La Reconnaissance",comédie,Comedy,1811.0
"Cécile, ou La Reconnaissance",comédie,Comedy,1811.0
Celestine,Opéra Nouveau,Opera,1808.0
Cephise ou l'Erreur de l'Espirit,Comédie,Comedy,1807.0
Céphise ou l'Erreur de l'esprit,comédie,Comedy,1807.0
Chasse d'Azor ou La Vengence de la Fée,mélo-drame,Drame,1808.0
"Château du Diable, ou Raoul de Salendrie",comédie héroïque,Comedy ,1811.0
"Châtiment des forfaits de Polichinel, ou Polichinel condamné à être pendu",,,1807.0
Claudine de Florian,Comédie nouvelle,Comedy,1808.0
Claudine de Florian,Comédie,Comedy,1808.0
Claudine de Florian,Comédie,Comedy,1808.0
Claudine de Florian,Comédie,Comedy,1808.0
Claudine de Florian,comédie,Comedy,1812.0
Clementine & Desormes,Drame,Drame,1807.0
Cœlina ou L'Enfant au Mystère,mélo-drame,Drame,1808.0
Colombine Mannequin,,Opera-Vaudeville,1807.0
Colombine Mannequin,,Opera-Vaudeville,1807.0
Colombine Mannequin,Opéra Vaudeville,Opera-Vaudeville,1807.0
Colombine Toute Seule,folie vaudeville,Vaudeville,1811.0
Combat d'Aboukir ou Le Peintre Français à Londres,"comédie historique, mêlée de vaudeville",Comedy-Vaudeville,1812.0
Comédiens Ambulans,comédie,Comedy,1809.0
Commerce de Nuit,comédie créole,Comedy,1808.0
Confidences,Opéra Nouveau,Opera,1808.0
Confidences,opéra,Opera,1808.0
Confidences,opéra,Opera,1809.0
Conjectures,comédie nouvelle,Comedy,1806.0
Conjectures,Comédie,Comedy,1806.0
Conjectures,Comédie,Comedy,1806.0
Conjectures,comédie,Comedy,1806.0
Conteur ou Les Deux Postes,comédie nouvelle,Comedy,1808.0
Conteur ou Les Deux Postes,Comédie nouvelle,Comedy,1808.0
Conteur ou Les Deux Postes,comédie,Comedy,1809.0
Conteur ou Les Deux Postes,Comédie,Comedy,1812.0
Conteur ou Les Deux Postes,Comédie,Comedy,1812.0
Contre-temps sur Contre-temps,Comédie,Comedy,1807.0
Contre-temps sur Contre-temps,Comédie,Comedy,1807.0
Contribution de Guerre,comédie,Comedy,1808.0
"Cricri, ou le Mitron de la rue Oursine",vaudeville nouveau,Vaudeville,1806.0
"Cricri, ou le Mitron de la rue Oursine",vaudeville nouveau,Vaudeville,1806.0
Crispin Médecin,Comédie,Comedy,1807.0
Crispin Médecin,,Comedy,1807.0
Crispin Médecin,,Comedy,1807.0
Crispin Médecin,comédie,Comedy,1808.0
Crispin Médecin,Comédie,Comedy,1808.0
Crispin Médecin,comédie,Comedy,1808.0
Danger des Liaisons,comédie nouvelle,Comedy,1809.0
Danger des Liaisons,comédie,Comedy,1809.0
Défiance & Malice,Comédie,Comedy,1808.0
Défiance & Malice,comédie,Comedy,1809.0
Défiance & Malice,comédie,Comedy,1809.0
Défiance & Malice,comédie,Comedy,1809.0
Défiance & Malice,comédie,Comedy,1810.0
Défiance & Malice,Comédie,Comedy,1812.0
Défiance et Malice,Comédie,Comedy,1806.0
Déjeuner de Garçon,Opéra nouveau,Opera,1808.0
Déjeuner de Garçon,opéra,Opera,1809.0
Déjeuner de Garçon,opéra,Opera,1811.0
"Délire, ou Les Suites d'une Erreur",Opéra Nouveau,Opera,1808.0
"Délire, ou Les Suites d'une Erreur",Opéra Nouveau,Opera,1808.0
"Délire, ou Les Suites d'une Erreur",Opéra,Opera,1809.0
"Délire, ou Les Suites d'une Erreur",opéra,Opera,1810.0
Démocrite Amoureux,comédie,Comedy,1811.0
Depit Amoureux,comédie,Comedy,1809.0
Dépit amoureux,,Comedy,1806.0
Dépit Amoureux,comédie,Comedy,1811.0
"Deux contrats, ou les Menteurs",comédie nouvelle,Comedy,1806.0
"Deux contrats, ou les Menteurs",Comédie,Comedy,1806.0
Deux Gendres,Comédie,Comedy,1811.0
Deux Gendres,Comédie nouvelle,Comedy,1811.0
Deux gendres,comédie,Comedy,1812.0
Deux Jumeaux de Bergame,Comédie,Comedy,1808.0
Deux petits Savoyards,,Opera,1806.0
Deux Petits Savoyards,Opéra,Opera,1807.0
Deux Petits Savoyards,Opéra,Opera,1808.0
Deux Petits Savoyards,opéra,Opera,1808.0
Deux Petits Savoyards,opéra,Opera,1809.0
Deux Petits Savoyards,opéra,Opera,1810.0
Deux petits Savoyards,opéra,Opera,1812.0
Deux petits Savoyards,opéra,Opera,1812.0
Deux petits Savoyards,opéra,Opera,1812.0
Devoir & la Nature,drame historique,Drame,1809.0
Devoir & la Nature,Drame,Drame,1809.0
Devoir & la Nature,drame,Drame,1811.0
Devoir & la Nature,Drame héroique,Drame,1811.0
Devoir & la Nature,Drame,Drame,1812.0
Distrait,comédie,Comedy,1807.0
Distrait,comédie,Comedy,1808.0
Distrait,comédie,Comedy,1808.0
Distrait,comédie,Comedy,1808.0
Don Juan Festin de Pierre ou Le Libertin Puni,comédie,Comedy,1805.0
Don Juan Festin de Pierre ou Le Libertin Puni,comédie,Comedy,1810.0
Don Juan ou La Vengeance Céleste,grande pantomime,Other,1807.0
Don Juan ou Le festin de pierre,comédie,Comedy,1806.0
Don Juan ou Le Festin de Pierre,Comédie,Comedy,1807.0
Don Juan ou Le festin de pierre,comédie,Comedy,1812.0
Don Juan ou Le Libertin Détruit,grande pantomime,Other,1807.0
Don Juan ou Le Libertin Puni,Grande-pantomime,Other,1808.0
"Don Juan, ou Le Libertin Puni",pantomime,Other,1811.0
"Duhautcours, ou L'Entrepreneur général des banqueroutes",comédie,Comedy,1812.0
Dupuis & Desronais,Comédie,Comedy,1807.0
Dupuis & Desronais,Comédie,Comedy,1807.0
Dupuis & Desronais,comédie,Comedy,1811.0
Echo & Narcisse ou Amour & Vengeance,grand ballet pantomime,Other,1808.0
Écossais à la Louisiane,comédie,Comedy,1808.0
Écossais à la Louisiane,comédie,Comedy,1808.0
Empiriques,Comédie,Comedy,1807.0
Empiriques,Comédie,Comedy,1807.0
Empiriques,Comédie,Comedy,1807.0
Enfin nous sommes en Etat ou le Mariage de Louisianette,comédie allégorique,Comedy,1812.0
Erreur & Sympathie ou le Crime Dévoilé,fait historique,Other,1811.0
Erreur & Sympathie ou le Crime Dévoilé,fait historique,Other,1811.0
Esope a la Foire,Comédie episodique,Comedy,1807.0
Esope à la foire,comédie épisodique,Comedy,1806.0
Esope à la Foire,comédie,Comedy,1811.0
Eugenie,Drame,Drame,1806.0
Eugenie,drame,Drame,1807.0
Eugénie,drame,Drame,1808.0
Eugénie,drame,Drame,1810.0
"Euphrosine, ou Le tyran corrigé",opéra,Opera,1806.0
"Euphrosine, ou Le tyran corrigé",Opéra,Opera,1806.0
"Euphrosine, ou Le tyran corrigé",Opéra,Opera,1806.0
"Euphrosine, ou Le tyran corrigé",Opéra,Opera,1806.0
"Euphrosine, ou Le tyran corrigé",opéra,Opera,1806.0
"Euphrosine, ou Le tyran corrigé",opéra,Opera,1810.0
"Euphrosine, ou Le tyran corrigé",opéra,Opera,1811.0
"Euphrosine, ou Le tyran corrigé",opéra,Opera,1811.0
"Euphrosine, ou Le tyran corrigé",opéra,Opera,1812.0
Fagotin,vaudeville nouveau,Vaudeville,1806.0
Fanchon la veilleuse,comédie,Comedy,1806.0
Fanchon la veilleuse,comédie,Comedy,1806.0
Fanchon la veilleuse,Vaudeville,Vaudeville,1807.0
Fanchon la veilleuse,Opéra-Vaudeville,Opera-Vaudeville,1811.0
Fanchon la veilleuse,opéra vaudeville,Opera-Vaudeville,1811.0
Fanchon la veilleuse,opéra vaudeville,Opera-Vaudeville,1812.0
Farces de Polichinel,,,1807.0
Fausses Apparences ou L'Amant Jaloux,opéra,Opera,1810.0
Fausses Apparences ou L'Amant Jaloux,opéra,Opera,1811.0
Fausses Consultations,comédie,Comedy,1808.0
Fauteuil,Comédie,Comedy,1807.0
Feintes Infidélités,opéra,Opera,1810.0
"Félix, ou l'enfant trouvé",opéra,Opera,1806.0
"Félix, ou l'enfant trouvé",opéra,Opera,1807.0
"Félix, ou l'enfant trouvé",Opéra,Opera,1807.0
"Félix, ou l'enfant trouvé",Opéra,Opera,1807.0
"Félix, ou l'enfant trouvé",opéra,Opera,1808.0
"Félix, ou l'enfant trouvé",Opéra,Opera,1808.0
"Félix, ou l'enfant trouvé",opéra,Opera,1808.0
"Félix, ou l'enfant trouvé",opéra,Opera,1811.0
"Félix, ou l'enfant trouvé",opéra,Opera,1811.0
Femme Médecin ou la Porte Secrette,comédie nouvelle,Comedy,1809.0
Femme Médecin ou la Porte Secrette,comédie nouvelle,Comedy,1809.0
Femme Médecin ou la Porte Secrette,comédie nouvelle,Comedy,1809.0
Femmes,Comédie nouvelle,Comedy,1808.0
"Fénélon, ou les Religieuses de Cambrai",Drame,Drame,1807.0
"Fénélon, ou les Religieuses de Cambrai",Drame,Drame,1807.0
"Fénélon, ou les Religieuses de Cambrai",dramé,Drame,1807.0
"Fénélon, ou les Religieuses de Cambrai",tragédie,Tragedy,1810.0
"Fénélon, ou les Religieuses de Cambrai",tragédie,Tragedy,1811.0
Fête de la Cinquantaine,Opéra Nouveau,Opera,1807.0
Fête de la Cinquantaine,opéra,Opera,1807.0
Fête de la Cinquantaine,opéra,Opera,1808.0
Fête de la Cinquantaine,Opéra,Opera,1808.0
Fête de la Cinquantaine,Opéra,Opera,1808.0
Fête de la Cinquantaine,opéra,Opera,1808.0
Fête de la Cinquantaine,opéra,Opera,1809.0
Fête de la Cinquantaine,opéra,Opera,1811.0
"Fitz Henry, ou La Maison des Fous",mélo-drame,Drame,1808.0
"Fitz Henry, ou La Maison des Fous",mélo-drame,Drame,1808.0
"Fitz Henry, ou La Maison des Fous",mélo-drame,Drame,1808.0
