year,date,title,author
1750,1750-02-23,Agamemnon. Tragedie,"Boyer, Claude"
1750,1750-03-02,De doodelyke minnenyd; treurspel,"Hoeven, Willem van der"
1750,1750-03-07,Polyxène,"La Fosse, Antoine de"
1750,1750-03-09,"Timon le misantrope, comedie","Delisle de La Drevetière, Louis François"
1750,1750-03-14,"Timon le misantrope, comedie","Delisle de La Drevetière, Louis François"
1750,1750-03-16,"Timon le misantrope, comedie","Delisle de La Drevetière, Louis François"
1750,1750-03-21,"Sabinus et Éponine, tragédie","Richer, Henri"
1750,1750-03-23,"La folle gageure, ou Les divertissemens de la comtesse de Pembroc","Le Métel de Boisrobert, François"
1750,1750-03-28,Artemines. Treurspel,"Winter-van Merken, Lucretia Wilhelmina van"
1750,1750-03-31,La devineresse,"Corneille, Thomas"
1750,1750-04-04,"Rhadamiste et Zénobie, tragédie","Crébillon, Prosper Jolyot de"
1750,1750-04-06,Het wederzyds huwelyks bedrog. Blyspél,"Langendijk, Pieter"
1750,1750-04-11,"Constantinus de Groote, Eerste Christen' Keiser. Treurspel","Bernagie, Pieter"
1750,1750-04-13,"Arminius, Beschermer der Duytsche Vryheid","Bernagie, Pieter"
1750,1750-04-18,Oreste et Pylade,"Lagrange Chancel, François Joseph de"
1750,1750-04-20,Los locos de Valencia,"Lope de Vega y Carpio, Félix"
1750,1750-04-23,Los locos de Valencia,"Lope de Vega y Carpio, Félix"
1750,1750-04-27,"Jacoba van Beieren, gravin van Holland en Zeeland. Treurspel","Marre, Jan de"
1750,1750-05-04,Le Cid. Tragi-comedie.,"Corneille, Pierre"
1750,1750-08-03,Manlius Capitolinus; tragédie,"La Fosse, Antoine de"
1750,1750-08-06,"Athénaïs, tragédie","Lagrange Chancel, François Joseph de"
1750,1750-08-08,Eneas en Turnus; treurspel,"Rotgans, Lukas"
1750,1750-08-10,Het gewaande bloedverwantschap; blyspel,"Wandelaar, Jan"
1750,1750-08-13,Nicomède,"Corneille, Pierre"
1750,1750-08-15,"Heraclius, empereur d'Orient","Corneille, Pierre"
1750,1750-08-17,Lucius Junius Brutus grondlegger der roomsche vrijheid. Treurspel.,"Bruin, Claas"
1750,1750-08-20,"Karel de Stoute, hartog van Bourgondie","Verhoek, Pieter"
1750,1750-08-22,"Antipater, of De dood van Alexander en Aristobulus. Treurspel","Heems, Abraham"
1750,1750-08-24,"Le geolier de soy-mesme, ou Jodelet prince","Corneille, Thomas"
1750,1750-08-27,Alexandre le Grand,"Racine, Jean"
1750,1750-08-31,Spiegel van edelmoedige vriendschap. Treurspel,"Bruin, Claas"
1750,1750-09-03,De doodelyke minnenyd; treurspel,"Hoeven, Willem van der"
1750,1750-09-07,De dood van de graaven Egmond en Hoorne. Treurspel,"Asselijn, Thomas"
1750,1750-09-10,Childeric,"Morand, Pierre de"
1750,1750-09-12,"Rodogune, princesse des Parthes","Corneille, Pierre"
1750,1750-09-14,"Sophonisba, treurspel","Haps, Pieter Willem van"
1750,1750-09-17,La mort de César,"Barbier, Marie-Anne"
1750,1750-09-19,"Géta, tragédie","Péchantré, Nicolas de"
