id,date,year,title,production,works,genre,place,author
3872,1777-01-19T23:59:32Z,1777,Zemire et Azor,[object Object],[object Object],Comédie-ballet,"Royal Danish Theatre, Kongens Nytorv","André-Ernest-Modeste Grétry,Jean-François Marmontel"
3873,1777-01-26T23:59:32Z,1777,Zemire et Azor,[object Object],[object Object],Comédie-ballet,"Royal Danish Theatre, Kongens Nytorv","André-Ernest-Modeste Grétry,Jean-François Marmontel"
3874,1777-02-02T23:59:32Z,1777,Zemire et Azor,[object Object],[object Object],Comédie-ballet,"Royal Danish Theatre, Kongens Nytorv","André-Ernest-Modeste Grétry,Jean-François Marmontel"
3875,1777-02-23T23:59:32Z,1777,Zemire et Azor,[object Object],[object Object],Comédie-ballet,"Royal Danish Theatre, Kongens Nytorv","André-Ernest-Modeste Grétry,Jean-François Marmontel"
3876,1777-05-06T23:59:32Z,1777,Zemire et Azor,[object Object],[object Object],Comédie-ballet,Hofteatret/Christiansborg Court Theatre,"André-Ernest-Modeste Grétry,Jean-François Marmontel"
3877,1778-01-05T23:59:32Z,1778,Zemire et Azor,[object Object],[object Object],Comédie-ballet,Hofteatret/Christiansborg Court Theatre,"André-Ernest-Modeste Grétry,Jean-François Marmontel"
3878,1778-01-12T23:59:32Z,1778,Zemire et Azor,[object Object],[object Object],Comédie-ballet,Hofteatret/Christiansborg Court Theatre,"André-Ernest-Modeste Grétry,Jean-François Marmontel"
3879,1778-02-22T23:59:32Z,1778,Zemire et Azor,[object Object],[object Object],Comédie-ballet,"Royal Danish Theatre, Kongens Nytorv","André-Ernest-Modeste Grétry,Jean-François Marmontel"
388,1767-11-17T23:59:32Z,1767,"L'obstacle imprévu, ou L'obstacle sans obstacle",[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Philippe Néricault Destouches
3880,1778-06-11T23:59:32Z,1778,Zemire et Azor,[object Object],[object Object],Comédie-ballet,"Royal Danish Theatre, Kongens Nytorv","André-Ernest-Modeste Grétry,Jean-François Marmontel"
3881,1778-12-28T23:59:32Z,1778,Zemire et Azor,[object Object],[object Object],Comédie-ballet,Hofteatret/Christiansborg Court Theatre,"André-Ernest-Modeste Grétry,Jean-François Marmontel"
3886,1777-02-13T23:59:32Z,1777,La fille de trente ans,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Jean Tesson de la Guérie
3887,1777-03-03T23:59:32Z,1777,La fille de trente ans,[object Object],[object Object],Comedy,Hofteatret/Christiansborg Court Theatre,Jean Tesson de la Guérie
3888,1777-10-27T23:59:32Z,1777,La fille de trente ans,[object Object],[object Object],Comedy,Hofteatret/Christiansborg Court Theatre,Jean Tesson de la Guérie
3889,1778-03-09T23:59:32Z,1778,La fille de trente ans,[object Object],[object Object],Comedy,Hofteatret/Christiansborg Court Theatre,Jean Tesson de la Guérie
389,1778-11-18T23:59:32Z,1778,"L'obstacle imprévu, ou L'obstacle sans obstacle",[object Object],[object Object],Comedy,Hofteatret/Christiansborg Court Theatre,Philippe Néricault Destouches
3890,1774-10-27T23:59:32Z,1774,La nouvelle école des femmes,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv","Alexandre-Guillaume Moulier de Moissy,François-André Danican Philidor"
3891,1775-01-17T23:59:32Z,1775,La nouvelle école des femmes,[object Object],[object Object],Comedy,Hofteatret/Christiansborg Court Theatre,"Alexandre-Guillaume Moulier de Moissy,François-André Danican Philidor"
3892,1775-04-04T23:59:32Z,1775,La nouvelle école des femmes,[object Object],[object Object],Comedy,Hofteatret/Christiansborg Court Theatre,"Alexandre-Guillaume Moulier de Moissy,François-André Danican Philidor"
3893,1763-03-10T23:59:32Z,1763,La Veuve coquette,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Claude-François Desportes
3894,1767-01-04T23:59:32Z,1767,La Veuve coquette,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Claude-François Desportes
3895,1767-01-08T23:59:32Z,1767,La Veuve coquette,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Claude-François Desportes
3896,1768-06-14T23:59:32Z,1768,La Veuve coquette,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Claude-François Desportes
3897,1769-04-09T23:59:32Z,1769,La Veuve coquette,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Claude-François Desportes
3898,1770-02-28T23:59:32Z,1770,La Veuve coquette,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Claude-François Desportes
3899,1770-04-29T23:59:32Z,1770,La Veuve coquette,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Claude-François Desportes
390,1778-11-22T23:59:32Z,1778,"L'obstacle imprévu, ou L'obstacle sans obstacle",[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Philippe Néricault Destouches
3900,1775-05-23T23:59:32Z,1775,La Veuve coquette,[object Object],[object Object],Comedy,Hofteatret/Christiansborg Court Theatre,Claude-François Desportes
3901,1775-11-19T23:59:32Z,1775,La Veuve coquette,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Claude-François Desportes
3902,1776-01-15T23:59:32Z,1776,La Veuve coquette,[object Object],[object Object],Comedy,Hofteatret/Christiansborg Court Theatre,Claude-François Desportes
3903,1765-11-26T23:59:32Z,1765,Den forelskede Ven,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Charlotta Dorothea Biehl
3904,1765-11-28T23:59:32Z,1765,Den forelskede Ven,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Charlotta Dorothea Biehl
3905,1768-11-01T23:59:32Z,1768,Den Ædelmodige,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Charlotta Dorothea Biehl
3906,1768-11-03T23:59:32Z,1768,Den Ædelmodige,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Charlotta Dorothea Biehl
3907,1770-04-18T23:59:32Z,1770,Den Ædelmodige,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Charlotta Dorothea Biehl
3908,1768-01-03T23:59:32Z,1768,Den forvundne Angest,[object Object],[object Object],prologue,"Royal Danish Theatre, Kongens Nytorv",Charlotta Dorothea Biehl
3909,1770-11-03T23:59:32Z,1770,Il Ratto della Sposa,[object Object],[object Object],Dramma giocoso per musica,"Royal Danish Theatre, Kongens Nytorv","Pietro Alessandro Guglielmi,Gaetano Martinelli,Rasmus Soelberg"
3910,1770-11-22T23:59:32Z,1770,Il Ratto della Sposa,[object Object],[object Object],Dramma giocoso per musica,"Royal Danish Theatre, Kongens Nytorv","Pietro Alessandro Guglielmi,Gaetano Martinelli,Rasmus Soelberg"
3911,1771-01-19T23:59:32Z,1771,Il Ratto della Sposa,[object Object],[object Object],Dramma giocoso per musica,"Royal Danish Theatre, Kongens Nytorv","Pietro Alessandro Guglielmi,Gaetano Martinelli,Rasmus Soelberg"
